Box_conveyor;Part_conveyor;Grab;C_plus;Auto;Manual;Emergency_stop;Reset_button;Start;Stop;Part_at_place;Box_at_place;Detected;C_limit;Temps_occurrence
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58812560319
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58812674249
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58812771812
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58812787311
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58812931727
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58812964706
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58812997194
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58813109124
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58813133110
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58813277020
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58813310999
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58813342979
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58813374959
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58813464904
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58813514873
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58813577834
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58813851670
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58813995580
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58814059540
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58814124499
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58814157479
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58814237431
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58814269410
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58814300391
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58814365351
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58814429312
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58814576220
false;true;true;false;true;false;true;false;false;true;false;false;true;true;58815008956
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58815026946
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58815041936
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58815158864
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815223826
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815257802
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815321762
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815354741
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815418703
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815456680
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815489659
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815554618
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815669124
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815707570
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815707571
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815794492
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815794493
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815794494
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815794495
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815794496
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815794497
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815794498
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815794499
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815794500
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815794501
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58815794502
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58816702945
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58816725795
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58816789755
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58816789756
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58816789757
false;false;false;false;true;false;true;false;false;true;false;false;false;true;58816793568
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58816793569
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58816793570
false;false;false;false;true;false;true;false;false;true;false;false;true;true;58817703338
false;false;true;false;true;false;true;false;false;true;false;false;true;true;58817703339
false;false;true;false;true;false;true;false;false;true;false;false;true;true;58817705318
false;false;true;false;true;false;true;false;false;true;false;false;true;true;58817708253
false;false;true;false;true;false;true;false;false;true;true;false;true;true;58817708254
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58817736176
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58817769154
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58817782084
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58817782085
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58817782086
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58817782087
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58817789895
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58817789896
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58817789897
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58818718949
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58818783476
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58818783477
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58818783478
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58818794959
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58818794960
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58818797710
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58818797711
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58818797712
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58819698580
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58819698581
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58819700539
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58819702521
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58819772477
